"id","title","area","requirement","rationale","verification","supports_user_requirements","priority","status","owner","source","depends_on","roadmap_target","last_updated"
"TR-016","Isolated distributable package","Packaging","Release artifacts shall contain the Roadmap package and console entry point without runtime dependencies that shadow its import namespace.","The primary user journey begins with a working installed command.","Build wheel and sdist in a clean job; inspect metadata; install each artifact without the source tree; run help, version, and import smoke tests.","UR-013","Must","Accepted","Maintainer","pyproject.toml#project; pyproject.toml#project-scripts; uv.lock","TR-001; TR-011","0.2.0 / Phase 13","2026-08-16"
"TR-017","Consistent command execution","CLI","Every command shall use common context discovery, error translation, confirmation, dry-run, and exit-code conventions.","Consistent mechanics make a broad CLI learnable and scriptable.","Run contract tests across representative read, write, destructive, local-Git, and repair commands; assert output channel and exit behavior.","UR-001; UR-002; UR-003; UR-012; UR-014; UR-016; UR-017; UR-020; UR-025; UR-026; UR-040","Must","Accepted","Maintainer","roadmap/adapters/inbound/cli/decorators.py; roadmap/adapters/inbound/cli/exception_handler.py; docs/architecture/refactor-execution-plan.md","TR-004; TR-005","0.2.0 / Phase 3","2026-08-16"
"TR-018","Idempotent workspace initialization","Initialization","Workspace discovery and initialization shall be idempotent, dry-runnable, template-aware, and transactional when existing data is present.","Initialization errors must not destroy the first user experience or prior project data.","Test clean, existing, partial, forced, custom-name, custom-template, interactive, noninteractive, and interrupted initialization.","UR-001; UR-014; UR-015; UR-046","Must","Accepted","Maintainer","roadmap/adapters/inbound/cli/init/commands.py; roadmap/application/use_cases/workspace_initialization.py","TR-007; TR-008","0.2.0 / Phase 9","2026-08-16"
"TR-019","Scoped versioned configuration","Configuration","Every configuration key shall declare project user or invocation scope and use a validated versioned schema with explicit defaults typed Bootstrap resolution scoped reset and forward migration; credentials machine paths and Git policy shall not be stored as shared project configuration.","Configuration drift and ambient access affect every journey and can expose sensitive values.","Round-trip every scope; reject invalid cross-scope values; test allowed overrides immutable injection resets migrations redaction and absence of Git or sync credentials in Roadmap configuration.","UR-009; UR-016; UR-033; UR-048; UR-058","Must","Accepted","Maintainer","docs/architecture/adr/0009-configuration-ownership-and-scope.md","TR-005; TR-006","0.2.0 / Phase 9","2026-08-16"
"TR-020","Stable identity and referential integrity","Domain","Every aggregate shall have a stable opaque Roadmap ID and every typed relationship shall persist the complete ID and validate across visible closed archived indexed and externally referenced state; existing IDs remain unchanged and new IDs use UUID4.","Traceability and safe recovery depend on identity that is independent of names paths and providers.","Test legacy and UUID4 IDs collisions ambiguous CLI prefixes rename reassignment close archive restore external references missing targets duplicate links stale indexes and cross-aggregate lookups.","UR-002; UR-003; UR-017; UR-019; UR-021; UR-023; UR-027; UR-028; UR-038; UR-045","Must","Accepted","Maintainer","docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md; docs/architecture/adr/0010-stable-id-based-canonical-paths.md","TR-002; TR-005","0.2.0 / Phase 4","2026-08-16"
"TR-021","Valid workflow and retention transitions","Domain","Workflow status and retention lifecycle shall be separate explicit state machines with validated transitions reasons timestamps and idempotent behavior; archive shall not replace workflow status or change canonical path.","Conflating completion retention and storage location corrupts history and query meaning.","Exhaustively test permitted and rejected close reopen archive restore and purge transitions repeated events derived progress visibility stable paths and relationship resolution.","UR-002; UR-020; UR-028","Must","Accepted","Maintainer","docs/architecture/adr/0008-lifecycle-independent-of-storage.md","TR-005; TR-020","0.2.0 / Phase 7","2026-08-16"
"TR-022","Validated dependency graphs","Domain","Dependency relations shall prevent missing targets self-links duplicates and prohibited cycles and shall expose deterministic traversal and critical-path analysis across every retained lifecycle state.","Invalid graphs make scheduling and execution unreliable.","Use property and example tests for graph mutation cycles disconnected nodes archived targets critical paths and large graphs.","UR-021","Should","Accepted","Maintainer","docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md; roadmap/application/use_cases/planning.py","TR-020","0.2.0 / Phases 6-7","2026-08-16"
"TR-023","Durable comments and lifecycle history","Collaboration","Issue comments and lifecycle events shall retain stable authorship timestamps targets ordering and history while committed canonical content remains inspectable through Git.","Context and accountability must survive handoff repository history and archive transitions.","Round-trip comment creation reply listing close archive restore purge corruption and migration cases; verify authorship ordering stable targets and Git-visible canonical diffs.","UR-022; UR-039","Should","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md","TR-020","0.2.0 / Phase 7","2026-08-16"
"TR-024","Derived planning aggregates","Planning","Project milestone board and daily views shall derive counts and progress from canonical linked entities using one documented Application-owned calculation policy.","Duplicated or stale progress erodes planning trust.","Reconcile aggregates after create reassignment transition archive restore projection rebuild and manual file edit; test empty overdue partial and stale-index states.","UR-003; UR-004; UR-024; UR-025; UR-026; UR-027; UR-028; UR-037","Should","Accepted","Maintainer","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md; docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md","TR-020; TR-021","0.2.0 / Phase 8","2026-08-16"
"TR-025","Safe Git command boundary","Git","Git operations shall use bounded argument arrays, explicit repository scope, timeouts, cancellation, and translated errors without shell injection.","Git is both a core integration and an external failure boundary.","Test dirty trees, missing Git, nested repositories, unusual paths, timeouts, command failure, branch collisions, and cancellation.","UR-023; UR-029; UR-032","Must","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md; roadmap/adapters/inbound/cli/exception_handler.py","TR-007; TR-010","0.2.0 / Phase 10","2026-08-16"
"TR-026","Reversible Git-hook integration","Git","Roadmap-managed Git hooks shall be idempotent, composable with existing hooks, identifiable, configurable, and removable without deleting user content.","Hook installation modifies developer workflows and must be reversible.","Test install/status/config/uninstall with absent, existing, chained, damaged, and repeated hook states on supported platforms.","UR-030; UR-031","Should","Deferred","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md","TR-025","Post-0.2","2026-08-16"
"TR-027","Deterministic commit reference parsing","Git","Commit parsing shall recognize only documented unambiguous references and apply idempotent mapped transitions.","False positives can change work state from ordinary commit prose.","Use a table of valid, invalid, ambiguous, repeated, Unicode, multiline, revert, merge, and unknown-ID messages.","UR-031","Should","Deferred","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md","TR-020; TR-021","Post-0.2","2026-08-16"
"TR-028","Git-owned synchronization boundary","Git","Roadmap shall treat canonical repository files as its only synchronized state and shall not implement provider backends baselines three-way entity reconciliation or implicit fetch pull merge rebase or push operations.","One synchronization authority avoids a second distributed-state protocol.","Run collaboration journeys with standard Git and blocked application network access; assert no Roadmap sync configuration checkpoint remote mapping or hidden transport is required.","UR-007; UR-033; UR-034; UR-035; UR-036; UR-039","Must","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md","TR-002; TR-009","0.2.0 / Phase 11","2026-08-16"
"TR-029","Rebuildable derived projections","Persistence","Every database index cache analytics table and materialized view shall be derivable from canonical files detect stale or incompatible state and rebuild idempotently without changing canonical content.","Query performance must not create a competing source of truth.","Delete corrupt truncate age and schema-mismatch every projection; rebuild repeatedly; compare query results and canonical file digests before and after.","UR-037; UR-045","Must","Accepted","Maintainer","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md","TR-002; TR-008","0.2.0 / Phase 5","2026-08-16"
"TR-030","Stable lifecycle storage","Persistence","Canonical entity paths shall use the flat collection and complete-ID layout from ADR-0010 and shall not change when title membership workflow status or archive visibility changes.","Mutable business state must not be encoded as a storage address or query index.","Test legacy-layout migration rename reassignment close reopen archive restore and projection rebuild; assert one stable canonical path no duplicates Git-visible content-only changes and retained ID lookup.","UR-002; UR-018; UR-028; UR-037","Must","Accepted","Maintainer","docs/architecture/adr/0008-lifecycle-independent-of-storage.md; docs/architecture/adr/0010-stable-id-based-canonical-paths.md","TR-002; TR-020; TR-021","0.2.0 / Phase 5","2026-08-16"
"TR-031","Explicit external references","Domain","External URLs and identifiers shall be ordinary optional references that never replace Roadmap identity trigger network access or create baseline mapping and reconciliation state.","External context can be useful without introducing a second writable source.","Round-trip add edit remove missing malformed duplicate and archived-reference cases; assert stable Roadmap identity no network calls and no provider-specific domain dependency.","UR-038","Could","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md; docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md","TR-005; TR-020; TR-028","0.2.0 / Phase 7","2026-08-16"
"TR-032","Versioned export and report schemas","Reporting","Export and report formats shall have documented fields, stable identifiers, deterministic ordering, safe overwrite behavior, and schema versions where compatibility requires them.","Exports become downstream interfaces and backup inputs.","Golden-file and parser tests shall cover filters, Unicode, nulls, empty sets, quoting, column selection, schema changes, and file collisions.","UR-008; UR-040; UR-041","Must","Accepted","Maintainer","roadmap/adapters/inbound/cli/data; roadmap/adapters/inbound/cli/output_formatter.py","TR-013; TR-020","0.2.0 / Phase 10","2026-08-16"
"TR-033","Safe diagnostics and repair","Operations","Health, integrity, cleanup, and repair operations shall separate detection from mutation and provide exact findings, stable severity, dry-run, confirmation, recovery, and post-check evidence.","Automated repair is destructive unless its scope and result are auditable.","Test each detector/fixer pair with healthy, damaged, ambiguous, permission-denied, partial-failure, dry-run, and repeated execution cases.","UR-010; UR-012; UR-042; UR-043; UR-044; UR-045","Must","Accepted","Maintainer","roadmap/adapters/inbound/cli/health; roadmap/application/use_cases/health.py; roadmap/adapters/inbound/cli/cleanup.py","TR-005; TR-008; TR-013","0.2.0 / Phase 10","2026-08-16"
"TR-034","Backup, lifecycle, and recovery integrity","Recovery","Backup archive restore purge and transaction-recovery operations shall preserve stable identity path relationships metadata and recoverability through atomic scoped changes.","Recovery features must be more trustworthy than the failure they address.","Run deterministic round-trip and failure-injection tests for all entities nested relations collisions interrupted commits visibility transitions retention purge manual edits and post-recovery health checks.","UR-011; UR-028; UR-044; UR-047","Must","Accepted","Maintainer","docs/architecture/adr/0005-write-consistency-and-concurrency.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md","TR-008; TR-020; TR-021","0.2.0 / Phase 5","2026-08-16"
"TR-035","Versioned data migration","Compatibility","Every canonical schema shall declare a version and provide explicit idempotent forward migration with preflight recovery guidance and unsupported-future-version rejection; projection schemas shall be rebuildable instead of migrated as authority.","Long-lived repository data outlives individual CLI releases.","Test each supported source version repeated migration partial failure future-version rejection preserved legacy IDs UUID4 creation stable target paths archived metadata duplicate conflicts unknown-field preservation projection rebuild and semantic round-trip.","UR-015; UR-048; UR-058","Must","Accepted","Maintainer","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md; docs/architecture/adr/0005-write-consistency-and-concurrency.md; docs/architecture/adr/0007-compatibility-and-evolution.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md; docs/architecture/adr/0010-stable-id-based-canonical-paths.md","TR-002; TR-008; TR-019","0.2.0 / Phase 9","2026-08-16"
"TR-036","Measured performance envelope","Performance","Interactive and batch journeys shall have documented dataset-size and latency targets and shall avoid unbounded memory filesystem parsing and Git work; normal filtered queries shall use rebuildable projections where measurement justifies them.","Large retained and archived histories must remain predictable for the stated small-team audience.","Benchmark list lookup daily board health dependency projection rebuild and export journeys at defined visible closed and archived entity counts; fail on material regressions.","UR-018; UR-024; UR-027; UR-037; UR-039; UR-042","Should","Accepted","Maintainer","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md; tests/integration/performance","","0.2.0 / Phase 13","2026-08-16"
"TR-037","Requirement artifact schema","Requirements","User and technical requirements shall share a versioned envelope and enforce type-specific fields, stable IDs, lifecycle values, priority, ownership, acceptance or verification criteria, and timestamps.","A small coherent schema enables governance without heavyweight tooling.","Validate minimum, complete, boundary, invalid, and unknown-field artifacts for both types and round-trip semantic equality.","UR-049; UR-050","Should","Accepted","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#canonical-storage","TR-002; TR-005; TR-020","0.4","2026-09-02"
"TR-038","Requirement repository","Requirements","Requirement files shall use repository interfaces that support create, read, update, list, archive, supersede, and transaction-safe import without coupling the domain to CLI or remote adapters.","Requirements need the same file-first guarantees as other core entities.","Run repository contract tests across file layout, manual edits, duplicates, archive, supersession, failure rollback, and cross-platform paths.","UR-049; UR-050","Should","Accepted","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#canonical-storage; roadmap/application/ports.py","TR-008; TR-035; TR-037","0.4","2026-09-02"
"TR-039","Governed requirement lifecycle","Requirements","Requirement transitions shall enforce governance rules, record reasons and actors, require evidence for Verified, and avoid silently deriving governed decisions from issue state.","Requirements are decisions, not task status aliases.","Test every transition, role assumption, accepted-content change, verification prerequisite, reopen, defer, reject, and roadmap eligibility rule.","UR-051; UR-054; UR-057; UR-059","Should","Deferred","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#lifecycle; docs/governance/README.md#requirement-lifecycle","TR-021; TR-023; TR-037","Post-0.2","2026-08-16"
"TR-040","Typed traceability graph","Requirements","Requirement relationships shall use an extensible typed graph with target-type validation, bidirectional discovery, duplicate prevention, and cycle policies.","Typed traceability separates intent, implementation, planning, and evidence.","Test every relation type, missing and archived targets, duplicate edges, prohibited cycles, unlinking, supersession, migration, and graph traversal.","UR-052; UR-053","Should","Accepted","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#typed-relationships","TR-020; TR-022; TR-037","0.4","2026-09-02"
"TR-041","Transactional requirement CSV interchange","Requirements","Requirement CSV export and import shall be deterministic, round-trip supported fields, validate the whole change set, preview conflicts, and commit atomically.","CSV is useful for bulk review but must not become a divergent source of truth.","Export canonical fixtures, re-import unchanged and modified copies, inject invalid and conflicting rows, and verify dry-run and rollback behavior.","UR-055","Should","Deferred","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#canonical-storage; docs/requirements/README.md","TR-032; TR-038; TR-040","Post-0.2","2026-08-16"
"TR-042","Traceability and coverage queries","Requirements","Coverage calculations shall use explicit eligible populations and relations and shall expose missing work, evidence, dependencies, and orphan implementation by journey, priority, milestone, and release.","Coverage must reveal gaps rather than reward record count.","Reconcile query results to canonical fixtures for empty, partial, complete, archived, superseded, and broken graphs; test structured output.","UR-053","Should","Accepted","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#traceability-views","TR-024; TR-040; TR-013","0.4","2026-09-02"
"TR-043","Verification evidence and audit","Requirements","Verification evidence shall record evidence type, stable location or digest, result, reviewer, time, and applicability and shall remain auditable after requirement evolution.","A Verified label without evidence provides false assurance.","Test missing, passing, failing, stale, superseded, external, and deleted evidence and verify lifecycle reconciliation without history loss.","UR-054; UR-056","Should","Deferred","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#lifecycle","TR-023; TR-039; TR-040","Post-0.2","2026-08-16"
"TR-044","Requirement schema migration","Requirements","Requirement artifacts and relations shall participate in versioned workspace migration without losing stable IDs, history, evidence, or supersession links.","Requirements are intended to outlive implementation work and releases.","Migrate every supported requirement schema fixture, repeat migrations, interrupt and resume, reject future schemas, and compare semantic graphs before and after.","UR-055; UR-056","Should","Deferred","Maintainer","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md#delivery-sequence","TR-035; TR-037; TR-038; TR-040; TR-043","Post-0.2","2026-08-16"
"TR-045","Requirements domain architecture fit","Architecture","Before requirement entities are implemented, the planned Domain, Application, and Adapter packages for requirements shall be checked against the existing hexagonal zones in architecture.toml and shall not require a new zone, phase bump, or exception; if they do not fit, an ADR amendment shall be written first.","Adding a new entity family after Phase 13 must not silently reopen the architecture ratchet or bypass enforced dependency direction.","Map the proposed requirements package layout onto architecture.toml zones and rules; run the architecture policy test against a draft fixture before real implementation begins; document the fit or the required ADR amendment.","UR-049","Should","Accepted","Maintainer","architecture.toml; docs/architecture/adr/0001-pragmatic-hexagonal-architecture.md; tests/policy/architecture_checker.py","TR-003; TR-037","0.3","2026-09-02"
"TR-046","Git-hosting link generation","Git","Roadmap shall detect the hosting provider (GitHub, GitLab, Gitea, or unrecognized) from the local Git remote and generate correctly shaped issue, branch, and pull/merge-request URLs for `roadmap git link` using only local repository data, with no network calls and no stored credentials.","Contributors want a ready-to-use link without Roadmap acting as a provider client or holding remote credentials.","Test recognized and unrecognized remote URL shapes (HTTPS and SSH), multiple remotes, missing remotes, and malformed remote configuration; assert no outbound network call and no credential storage.","UR-060","Should","Accepted","Maintainer","roadmap/adapters/inbound/cli/git/commands.py","TR-006; TR-009; TR-025; TR-028","0.4","2026-09-02"
"TR-047","Gantt and critical-path visualization","Reporting","Roadmap shall render a Gantt-style schedule and the calculated critical path for a project or milestone using only dependencies already declared in this release, in a form that runs on every supported OS without adding a runtime dependency that would compromise the isolated distributable package.","Visualizing sequence and slack makes the existing critical-path calculation actionable instead of just numeric output.","Spike at least two rendering approaches (for example plain-text/Unicode terminal rendering versus an exported static format) before committing; test large graphs, cycles-already-rejected input, empty schedules, and every declared output format.","UR-021; UR-061","Should","Accepted","Maintainer","roadmap/application/use_cases/planning.py","TR-016; TR-022; TR-036","0.4","2026-09-02"
